year,region,season,lead_month,sumDry.for,normal.for,sumMonsoon.for,sumDry.obs,normal.obs,sumMonsoon.obs,avgPCP_mmDay,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi.obs,ant_soi.for,ant_mei.obs,ant_mei.for,ant_dsst3.4.obs,ant_dsst3.4.for
1981,AZ_East,AS,4.0,8.48,29.36,23.16,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,4.0,8.16,29.32,23.52,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,4.0,17.16,30.4,13.44,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,4.0,9.64,31.24,20.12,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,4.0,12.32,29.96,18.72,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,4.0,10.84,32.0,18.16,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,4.0,15.72,30.24,15.04,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,4.0,9.92,30.48,20.6,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,4.0,7.32,28.08,25.6,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,4.0,11.44,28.64,20.92,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,4.0,8.76,29.64,22.6,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,4.0,13.76,30.520000000000003,16.72,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,4.0,13.28,32.4,15.32,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,4.0,6.6,30.64,23.76,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,4.0,11.6,29.0,20.4,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,4.0,14.32,30.0,16.68,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,4.0,10.0,27.96,23.040000000000003,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,4.0,9.52,28.44,23.04,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,4.0,9.32,25.72,25.96,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,4.0,10.96,27.72,22.32,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,4.0,8.84,30.28,21.880000000000003,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,4.0,9.72,30.08,21.2,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,4.0,9.08,29.8,22.12,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,4.0,9.4,29.4,22.2,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,4.0,9.04,29.56,22.4,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,4.0,12.68,26.76,21.56,15,19,27,1.98592345,,,,,,,,,,,,
2007,AZ_East,AS,4.0,10.56,29.24,21.2,9,29,23,1.4960884,,,,,,,,,,,,
2008,AZ_East,AS,4.0,10.6,28.0,22.4,13,33,15,1.4647148,,,,,,,,,,,,
2009,AZ_East,AS,4.0,8.68,27.0,25.32,22,33,6,0.90934778,,,,,,,,,,,,
2010,AZ_East,AS,4.0,9.28,26.880000000000003,24.840000000000003,15,32,14,1.47414148,,,,,,,,,,,,
2011,AZ_East,AS,4.0,12.64,29.28,19.08,13,33,15,1.5847017,,,,,,,,,,,,
2012,AZ_East,AS,4.0,9.52,28.28,23.2,13,26,22,1.4034735,,,,,,,,,,,,
2013,AZ_East,AS,4.0,8.4,25.48,27.12,9,22,30,1.95974965,,,,,,,,,,,,
2014,AZ_East,AS,4.0,8.2,26.92,25.880000000000003,6,26,29,2.5513426,,,,,,,,,,,,
2015,AZ_East,AS,4.0,5.84,29.4,25.76,0,45,16,1.72275795,,,,,,,,,,,,
2016,AZ_East,AS,4.0,5.76,27.28,27.96,9,39,13,2.0070674,,,,,,,,,,,,
2017,AZ_East,AS,4.0,8.76,29.24,23.0,13,34,14,0.96314979,,,,,,,,,,,,
2018,AZ_East,AS,4.0,7.92,27.53,25.54,11,35,15,1.378445,,,,,,,,,,,,
2019,AZ_East,AS,4.0,8.629999999999999,28.02,24.35,11,42,8,1.32670355,,,,,,,,,,,,
2020,AZ_East,AS,4.0,8.11,28.44,24.450000000000003,34,26,1,0.43167562,,,,,,,,,,,,
2021,AZ_East,AS,4.0,10.02,24.75,26.24,7,38,16,1.8160722,,,,,,,,,,,,
2022,AZ_East,AS,4.0,8.17,25.98,26.85,2,24,35,2.2785555,,,,,,,,,,,,
2023,AZ_East,AS,4.0,9.65,28.85,22.51,19,17,25,1.21802225,,,,,,,,,,,,
1981,AZ_East,AS,5.0,14.12,27.84,19.04,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,5.0,10.56,31.52,18.92,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,5.0,12.88,33.36,14.76,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,5.0,11.04,25.24,24.72,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,5.0,13.52,27.72,19.76,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,5.0,8.76,29.16,23.08,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,5.0,12.8,30.16,18.04,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,5.0,9.88,26.28,24.840000000000003,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,5.0,7.48,26.8,26.72,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,5.0,10.4,30.76,19.84,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,5.0,9.88,30.08,21.04,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,5.0,9.8,31.880000000000003,19.32,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,5.0,11.04,27.84,22.12,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,5.0,9.04,30.08,21.880000000000003,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,5.0,9.8,30.0,21.2,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,5.0,10.76,27.4,22.84,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,5.0,10.12,30.16,20.72,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,5.0,9.24,27.12,24.64,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,5.0,8.8,29.52,22.68,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,5.0,9.8,25.12,26.08,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,5.0,15.08,26.24,19.68,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,5.0,11.44,28.56,21.0,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,5.0,10.6,25.56,24.84,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,5.0,9.68,30.48,20.84,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,5.0,7.16,28.32,25.52,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,5.0,9.56,27.880000000000003,23.56,15,19,27,1.98592345,,,,,,,,,,,,
2007,AZ_East,AS,5.0,10.08,27.92,23.0,9,29,23,1.4960884,,,,,,,,,,,,
2008,AZ_East,AS,5.0,10.2,29.52,21.28,13,33,15,1.4647148,,,,,,,,,,,,
2009,AZ_East,AS,5.0,10.32,27.32,23.36,22,33,6,0.90934778,,,,,,,,,,,,
2010,AZ_East,AS,5.0,10.92,23.04,27.04,15,32,14,1.47414148,,,,,,,,,,,,
2011,AZ_East,AS,5.0,10.8,25.16,25.04,13,33,15,1.5847017,,,,,,,,,,,,
2012,AZ_East,AS,5.0,11.28,26.92,22.8,13,26,22,1.4034735,,,,,,,,,,,,
2013,AZ_East,AS,5.0,7.84,27.8,25.36,9,22,30,1.95974965,,,,,,,,,,,,
2014,AZ_East,AS,5.0,8.8,31.24,20.96,6,26,29,2.5513426,,,,,,,,,,,,
2015,AZ_East,AS,5.0,10.04,28.12,22.84,0,45,16,1.72275795,,,,,,,,,,,,
2016,AZ_East,AS,5.0,8.0,26.56,26.44,9,39,13,2.0070674,,,,,,,,,,,,
2017,AZ_East,AS,5.0,10.28,26.48,24.24,13,34,14,0.96314979,,,,,,,,,,,,
2018,AZ_East,AS,5.0,9.14,27.36,24.51,11,35,15,1.378445,,,,,,,,,,,,
2019,AZ_East,AS,5.0,8.18,29.92,22.91,11,42,8,1.32670355,,,,,,,,,,,,
2020,AZ_East,AS,5.0,9.2,27.43,24.37,34,26,1,0.43167562,,,,,,,,,,,,
2021,AZ_East,AS,5.0,9.8,26.37,24.83,7,38,16,1.8160722,,,,,,,,,,,,
2022,AZ_East,AS,5.0,7.66,27.08,26.25,2,24,35,2.2785555,,,,,,,,,,,,
2023,AZ_East,AS,5.0,12.37,29.130000000000003,19.49,19,17,25,1.21802225,,,,,,,,,,,,
1981,AZ_East,AS,6.0,12.72,28.4,19.88,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,6.0,10.8,31.6,18.6,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,6.0,14.04,30.36,16.6,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,6.0,7.76,29.92,23.32,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,6.0,13.28,29.200000000000003,18.52,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,6.0,7.48,30.4,23.12,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,6.0,12.64,30.88,17.48,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,6.0,12.4,26.4,22.2,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,6.0,10.8,27.64,22.56,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,6.0,9.079999999999998,30.64,21.28,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,6.0,9.36,31.04,20.6,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,6.0,12.239999999999998,30.72,18.04,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,6.0,10.92,26.0,24.08,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,6.0,10.0,31.96,19.04,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,6.0,12.04,28.56,20.4,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,6.0,8.44,29.84,22.72,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,6.0,7.16,32.239999999999995,21.6,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,6.0,7.0,27.32,26.68,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,6.0,10.28,23.4,27.32,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,6.0,8.799999999999999,27.8,24.4,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,6.0,8.120000000000001,27.92,24.96,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,6.0,7.800000000000001,30.48,22.72,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,6.0,10.96,29.76,20.28,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,6.0,11.0,28.520000000000003,21.48,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,6.0,10.32,26.64,24.04,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,6.0,10.48,28.200000000000003,22.32,15,19,27,1.98592345,,,,,,,,,,,,
2007,AZ_East,AS,6.0,11.88,28.52,20.6,9,29,23,1.4960884,,,,,,,,,,,,
2008,AZ_East,AS,6.0,10.24,29.04,21.72,13,33,15,1.4647148,,,,,,,,,,,,
2009,AZ_East,AS,6.0,7.04,30.6,23.36,22,33,6,0.90934778,,,,,,,,,,,,
2010,AZ_East,AS,6.0,9.96,23.12,27.92,15,32,14,1.47414148,,,,,,,,,,,,
2011,AZ_East,AS,6.0,10.44,25.64,24.92,13,33,15,1.5847017,,,,,,,,,,,,
2012,AZ_East,AS,6.0,11.52,27.0,22.48,13,26,22,1.4034735,,,,,,,,,,,,
2013,AZ_East,AS,6.0,8.76,29.6,22.64,9,22,30,1.95974965,,,,,,,,,,,,
2014,AZ_East,AS,6.0,6.68,27.56,26.76,6,26,29,2.5513426,,,,,,,,,,,,
2015,AZ_East,AS,6.0,6.92,26.6,27.48,0,45,16,1.72275795,,,,,,,,,,,,
2016,AZ_East,AS,6.0,7.279999999999999,28.12,25.6,9,39,13,2.0070674,,,,,,,,,,,,
2017,AZ_East,AS,6.0,8.72,31.8,20.48,13,34,14,0.96314979,,,,,,,,,,,,
2018,AZ_East,AS,6.0,5.71,26.78,28.51,11,35,15,1.378445,,,,,,,,,,,,
2019,AZ_East,AS,6.0,8.86,31.02,21.12,11,42,8,1.32670355,,,,,,,,,,,,
2020,AZ_East,AS,6.0,6.47,27.14,27.39,34,26,1,0.43167562,,,,,,,,,,,,
2021,AZ_East,AS,6.0,10.96,29.22,20.83,7,38,16,1.8160722,,,,,,,,,,,,
2022,AZ_East,AS,6.0,9.25,26.41,25.34,2,24,35,2.2785555,,,,,,,,,,,,
2023,AZ_East,AS,6.0,11.0,30.380000000000003,19.630000000000003,19,17,25,1.21802225,,,,,,,,,,,,
1981,AZ_East,AS,7.0,16.12,28.6,17.28,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,7.0,12.96,34.16,14.88,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,7.0,18.76,28.96,14.28,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,7.0,14.32,24.64,23.04,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,7.0,15.48,30.92,15.6,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,7.0,11.2,29.92,20.88,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,7.0,18.64,27.72,15.64,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,7.0,14.28,27.520000000000003,20.2,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,7.0,15.28,28.88,17.84,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,7.0,11.4,28.6,22.0,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,7.0,11.84,31.12,19.04,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,7.0,13.44,33.08,15.48,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,7.0,13.84,31.04,17.119999999999997,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,7.0,10.16,33.12,18.72,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,7.0,18.08,28.56,15.36,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,7.0,13.48,30.48,18.04,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,7.0,10.4,30.24,21.36,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,7.0,12.28,26.12,23.6,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,7.0,14.2,29.16,18.64,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,7.0,14.56,32.4,15.04,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,7.0,14.44,26.04,21.52,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,7.0,14.32,32.0,15.68,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,7.0,16.720000000000002,27.64,17.64,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,7.0,18.36,30.08,13.56,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,7.0,14.48,29.44,18.08,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,7.0,14.88,26.6,20.52,15,19,27,1.98592345,,,,,,,,,,,,
2007,AZ_East,AS,7.0,13.28,27.08,21.64,9,29,23,1.4960884,,,,,,,,,,,,
2008,AZ_East,AS,7.0,15.64,30.2,16.16,13,33,15,1.4647148,,,,,,,,,,,,
2009,AZ_East,AS,7.0,12.4,30.32,19.28,22,33,6,0.90934778,,,,,,,,,,,,
2010,AZ_East,AS,7.0,18.08,25.72,18.2,15,32,14,1.47414148,,,,,,,,,,,,
2011,AZ_East,AS,7.0,13.56,30.8,17.64,13,33,15,1.5847017,,,,,,,,,,,,
2012,AZ_East,AS,7.0,15.32,30.0,16.68,13,26,22,1.4034735,,,,,,,,,,,,
2013,AZ_East,AS,7.0,12.76,28.44,20.8,9,22,30,1.95974965,,,,,,,,,,,,
2014,AZ_East,AS,7.0,9.0,29.96,23.04,6,26,29,2.5513426,,,,,,,,,,,,
2015,AZ_East,AS,7.0,6.48,26.48,29.04,0,45,16,1.72275795,,,,,,,,,,,,
2016,AZ_East,AS,7.0,10.72,29.36,21.92,9,39,13,2.0070674,,,,,,,,,,,,
2017,AZ_East,AS,7.0,13.64,29.84,18.52,13,34,14,0.96314979,,,,,,,,,,,,
2018,AZ_East,AS,7.0,9.76,31.04,21.200000000000003,11,35,15,1.378445,,,,,,,,,,,,
2019,AZ_East,AS,7.0,12.04,30.47,19.49,11,42,8,1.32670355,,,,,,,,,,,,
2020,AZ_East,AS,7.0,11.8,27.53,22.66,34,26,1,0.43167562,,,,,,,,,,,,
2021,AZ_East,AS,7.0,14.15,30.08,17.77,7,38,16,1.8160722,,,,,,,,,,,,
2022,AZ_East,AS,7.0,10.84,29.26,21.9,2,24,35,2.2785555,,,,,,,,,,,,
2023,AZ_East,AS,7.0,17.47,28.28,16.259999999999998,19,17,25,1.21802225,,,,,,,,,,,,
1981,AZ_East,AS,8.0,16.52,34.24,10.24,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,8.0,10.56,28.36,22.08,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,8.0,7.84,22.8,30.36,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,8.0,10.92,26.4,23.68,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,8.0,11.96,36.4,12.64,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,8.0,12.24,35.28,13.48,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,8.0,12.08,26.64,22.28,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,8.0,12.32,27.08,21.6,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,8.0,11.760000000000002,29.6,19.64,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,8.0,12.64,35.68,12.68,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,8.0,7.399999999999999,29.08,24.52,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,8.0,10.28,32.0,18.72,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,8.0,12.0,34.32,14.68,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,8.0,9.16,33.0,18.84,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,8.0,15.6,27.92,17.48,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,8.0,12.92,31.2,16.88,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,8.0,9.08,23.84,28.08,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,8.0,8.36,30.68,21.96,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,8.0,11.16,32.8,17.04,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,8.0,14.0,31.160000000000004,15.84,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,8.0,9.72,24.72,26.56,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,8.0,10.6,32.0,18.4,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,8.0,16.8,26.8,17.4,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,8.0,18.12,33.480000000000004,9.4,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,8.0,11.08,18.72,31.2,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,8.0,10.64,27.76,22.6,15,19,27,1.98592345,,,,,,,,,,,,
2007,AZ_East,AS,8.0,11.88,28.76,20.36,9,29,23,1.4960884,,,,,,,,,,,,
2008,AZ_East,AS,8.0,15.12,29.4,16.48,13,33,15,1.4647148,,,,,,,,,,,,
2009,AZ_East,AS,8.0,16.04,33.24,11.72,22,33,6,0.90934778,,,,,,,,,,,,
2010,AZ_East,AS,8.0,11.36,27.12,22.52,15,32,14,1.47414148,,,,,,,,,,,,
2011,AZ_East,AS,8.0,18.76,27.56,14.68,13,33,15,1.5847017,,,,,,,,,,,,
2012,AZ_East,AS,8.0,10.96,29.0,21.04,13,26,22,1.4034735,,,,,,,,,,,,
2013,AZ_East,AS,8.0,17.48,35.56,7.96,9,22,30,1.95974965,,,,,,,,,,,,
2014,AZ_East,AS,8.0,7.2,29.2,24.6,6,26,29,2.5513426,,,,,,,,,,,,
2015,AZ_East,AS,8.0,7.640000000000001,34.96,18.4,0,45,16,1.72275795,,,,,,,,,,,,
2016,AZ_East,AS,8.0,9.16,27.28,24.56,9,39,13,2.0070674,,,,,,,,,,,,
2017,AZ_East,AS,8.0,10.0,32.04,18.96,13,34,14,0.96314979,,,,,,,,,,,,
2018,AZ_East,AS,8.0,10.96,28.65,21.39,11,35,15,1.378445,,,,,,,,,,,,
2019,AZ_East,AS,8.0,8.870000000000001,32.86,19.28,11,42,8,1.32670355,,,,,,,,,,,,
2020,AZ_East,AS,8.0,19.51,28.79,12.7,34,26,1,0.43167562,,,,,,,,,,,,
2021,AZ_East,AS,8.0,12.39,29.22,19.4,7,38,16,1.8160722,,,,,,,,,,,,
2022,AZ_East,AS,8.0,7.43,22.41,31.15,2,24,35,2.2785555,,,,,,,,,,,,
2023,AZ_East,AS,8.0,18.37,29.92,12.71,19,17,25,1.21802225,,,,,,,,,,,,
1981,AZ_East,ASO,4.0,34.72,33.84,23.44,26,38,28,1.2230262333333333,,,,,,,,,,,,
1982,AZ_East,ASO,4.0,31.36,36.04,24.6,32,22,38,1.417133593333333,,,,,,,,,,,,
1983,AZ_East,ASO,4.0,43.2,35.28,13.52,14,31,47,2.5456899666666666,,,,,,,,,,,,
1984,AZ_East,ASO,4.0,36.0,35.6,20.4,28,27,37,2.160018533333333,,,,,,,,,,,,
1985,AZ_East,ASO,4.0,37.52,35.4,19.08,30,54,8,1.6974689333333333,,,,,,,,,,,,
1986,AZ_East,ASO,4.0,33.72,39.12,19.16,37,26,29,1.6350999666666668,,,,,,,,,,,,
1987,AZ_East,ASO,4.0,42.48,34.440000000000005,15.079999999999998,40,35,17,1.2959326,,,,,,,,,,,,
1988,AZ_East,ASO,4.0,36.68,34.52,20.8,38,31,23,1.7610182666666667,,,,,,,,,,,,
1989,AZ_East,ASO,4.0,32.879999999999995,33.24,25.88,41,38,13,1.0033578666666667,,,,,,,,,,,,
1990,AZ_East,ASO,4.0,36.2,34.56,21.24,28,46,18,1.5537327,,,,,,,,,,,,
1991,AZ_East,ASO,4.0,30.64,38.0,23.36,33,35,24,1.1636107333333334,,,,,,,,,,,,
1992,AZ_East,ASO,4.0,40.24,35.0,16.76,38,31,23,1.5060146233333331,,,,,,,,,,,,
1993,AZ_East,ASO,4.0,40.04,36.6,15.36,41,34,17,1.6743990133333335,,,,,,,,,,,,
1994,AZ_East,ASO,4.0,30.08,37.48,24.44,40,34,18,1.4301034333333331,,,,,,,,,,,,
1995,AZ_East,ASO,4.0,36.24,34.72,21.04,41,30,21,1.2076333099999998,,,,,,,,,,,,
1996,AZ_East,ASO,4.0,40.48,34.56,16.96,39,39,14,1.6475956333333333,,,,,,,,,,,,
1997,AZ_East,ASO,4.0,33.6,34.480000000000004,23.92,23,29,40,1.5442631333333334,,,,,,,,,,,,
1998,AZ_East,ASO,4.0,35.16,32.92,23.92,31,35,26,1.3573010000000003,,,,,,,,,,,,
1999,AZ_East,ASO,4.0,35.120000000000005,30.56,26.32,40,32,20,1.539965768,,,,,,,,,,,,
2000,AZ_East,ASO,4.0,37.16,32.32,22.52,36,40,16,2.11024083,,,,,,,,,,,,
2001,AZ_East,ASO,4.0,33.72,35.96,22.32,48,27,17,1.0443870666666666,,,,,,,,,,,,
2002,AZ_East,ASO,4.0,34.64,35.6,21.76,53,32,7,1.3030285833333333,,,,,,,,,,,,
2003,AZ_East,ASO,4.0,34.28,34.8,22.92,37,30,25,1.0586241566666663,,,,,,,,,,,,
2004,AZ_East,ASO,4.0,35.48,34.08,22.44,51,32,9,1.3819802333333333,,,,,,,,,,,,
2005,AZ_East,ASO,4.0,34.68,34.44,22.88,39,37,16,1.1946912666666667,,,,,,,,,,,,
2006,AZ_East,ASO,4.0,36.76,33.36,21.88,35,29,28,1.7531600333333337,,,,,,,,,,,,
2007,AZ_East,ASO,4.0,35.4,34.92,21.68,35,34,23,1.0603157833333332,,,,,,,,,,,,
2008,AZ_East,ASO,4.0,35.32,33.6,23.08,43,34,15,1.12059081,,,,,,,,,,,,
2009,AZ_East,ASO,4.0,31.92,34.32,25.76,49,37,6,0.6860265933333333,,,,,,,,,,,,
2010,AZ_East,ASO,4.0,36.32,30.76,24.92,37,41,14,1.2711253866666667,,,,,,,,,,,,
2011,AZ_East,ASO,4.0,38.56,33.8,19.64,39,38,15,1.2835983333333332,,,,,,,,,,,,
2012,AZ_East,ASO,4.0,34.56,33.84,23.6,43,27,22,0.9751166466666666,,,,,,,,,,,,
2013,AZ_East,ASO,4.0,32.88,31.56,27.56,40,22,30,1.3603513366666666,,,,,,,,,,,,
2014,AZ_East,ASO,4.0,28.28,36.88,26.84,29,34,29,1.9594369333333332,,,,,,,,,,,,
2015,AZ_East,ASO,4.0,27.24,38.24,26.52,13,60,19,1.6948011,,,,,,,,,,,,
2016,AZ_East,ASO,4.0,28.48,33.96,29.56,31,48,13,1.4490151666666666,,,,,,,,,,,,
2017,AZ_East,ASO,4.0,31.28,36.2,24.52,40,38,14,0.6573604646666668,,,,,,,,,,,,
2018,AZ_East,ASO,4.0,30.1,35.370000000000005,26.52,26,47,19,1.7708060666666663,,,,,,,,,,,,
2019,AZ_East,ASO,4.0,30.59,35.98,25.43,41,43,8,0.90420237,,,,,,,,,,,,
2020,AZ_East,ASO,4.0,31.6,35.13,25.270000000000003,65,26,1,0.3567855666666666,,,,,,,,,,,,
2021,AZ_East,ASO,4.0,34.84,30.51,26.65,32,44,16,1.4400418233333332,,,,,,,,,,,,
2022,AZ_East,ASO,4.0,32.41,31.88,27.71,19,38,35,2.0313369333333333,,,,,,,,,,,,
2023,AZ_East,ASO,4.0,32.04,36.73,23.24,48,19,25,0.8739025100000001,,,,,,,,,,,,
1981,AZ_East,ASO,5.0,39.12,33.64,19.24,26,38,28,1.2230262333333333,,,,,,,,,,,,
