year,region,season,lead_month,sumDry_for,normal_for,sumMonsoon_for,sumDry_obs,normal_obs,sumMonsoon_obs,avgPCP_mmDay,antecedent_3m_for,antecedent_2m_for,antecedent_1m_for,antecedent_3m_obs,antecedent_2m_obs,antecedent_1m_obs,sumq_for,sumq_obs,sumtclw_for,sumtclw_obs,sumtcwv_for,sumtcwv_obs,sumtprate_for,sumtprate_obs,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi_obs,ant_soi_for,ant_mei_obs,ant_mei_for,ant_dsst3.4_obs,ant_dsst3.4_for
1996,AZ_East,AS,4.0,14.32,30.0,16.68,12,35,14,1.9418134,9.685066666666668e-09,1.31353378e-08,2.3081917e-08,7.312714561352237e-09,9.289472328719907e-09,4.952396942033564e-09,0.0170525455,0.0167280238855804,0.093803044,0.0469615575267736,43.24983,41.05474502220322,4.2618678e-08,3.9619575707134266e-08,,,,,,,0.7,1.1,-0.64,-0.66,-0.2,-0.56
1997,AZ_East,AS,4.0,10.0,27.96,23.040000000000003,0,22,39,1.8852534,9.680547566666668e-09,1.294092235e-08,2.1199591e-08,1.2804918462345293e-08,8.486764880436922e-09,2.169420423194444e-09,0.0180370625,0.0189079564621331,0.103629365,0.0579091561721385,45.709692,48.12055628308643,5.1854964e-08,3.187768181509027e-08,,,,,,,-1.4,-0.4,2.26,-0.3,1.91,-0.2
1998,AZ_East,AS,4.0,9.52,28.44,23.04,8,27,26,1.3284271,8.003530533333333e-09,9.7680685e-09,1.7225865e-08,1.863143765929244e-08,2.5614301576119792e-08,2.2129472436997685e-08,0.018510016,0.0160143114982069,0.1026463,0.0455458914131434,46.915392,41.14625784575111,4.9015066e-08,2.038275014575926e-08,,,,,,,1.2,-2.4,-1.82,2.27,-1.25,1.38
1999,AZ_East,AS,4.0,9.32,25.72,25.96,9,32,20,2.30636785,9.655446033333332e-09,1.37185515e-08,2.2848047e-08,3.112544689810571e-09,3.406984135926504e-09,4.5755301439803245e-09,0.018280329,0.0168221591540248,0.105940286,0.0449489454542025,46.101211,40.94964838583496,5.039087e-08,3.2269849263907414e-08,,,,,,,0.4,1.3,-1.03,-1.15,-1.19,-0.9
2000,AZ_East,AS,4.0,10.96,27.72,22.32,17,28,16,1.267108245,1.10465536e-08,1.5458957e-08,2.7048527e-08,1.0036089160597993e-08,1.3475024193915509e-08,2.06685192231088e-08,0.0180204466,0.0153208111582743,0.09997939,0.0283188047736381,45.16546,39.695027832103925,4.9310703e-08,2.5065431924013884e-08,,,,,,,0.7,1.3,-0.08,-1.37,-0.47,-0.93
2001,AZ_East,AS,4.0,8.84,30.28,21.880000000000003,23,21,17,1.34664505,8.518367833333334e-09,1.1248477e-08,1.8072102e-08,1.2708492976581018e-08,1.1759538769699652e-08,1.0279777525103011e-08,0.018358528,0.0151723157055688,0.107989057,0.0295645977013263,46.424452,38.2915440465618,4.9087275e-08,2.935041447971528e-08,,,,,,,-0.4,0.9,0.38,-0.78,-0.1,-0.39
2002,AZ_East,AS,4.0,9.72,30.08,21.2,22,32,7,1.6035175000000002,9.509839733333333e-09,1.341098265e-08,2.1618131e-08,3.5238418753263892e-09,3.0593180413697918e-09,3.722930804474537e-09,0.018354658,0.0142339586444573,0.101875198,0.0364192984579936,46.694345,36.04792391129953,4.718263e-08,3.045667506942708e-08,,,,,,,-1.0,-0.2,1.01,-0.2,0.81,0.09
2003,AZ_East,AS,4.0,9.08,29.8,22.12,17,19,25,1.3496017,9.655114233333332e-09,1.29122015e-08,2.1919496e-08,1.3502753680993057e-08,1.905538338277373e-08,1.1090900331305556e-08,0.018699798,0.0158693794506341,0.106646136,0.0426720487163128,47.220022,41.34302336969324,5.0897084e-08,2.6013342548048613e-08,,,,,,,0.1,-0.3,0.05,0.53,0.2,0.45
2004,AZ_East,AS,4.0,9.4,29.4,22.2,24,28,9,1.5182611,1.2402161866666666e-08,1.71686467e-08,2.7721569e-08,1.0580015525533176e-08,1.1090323614468751e-08,1.0386576067436342e-08,0.018305063,0.014062029064653,0.104977647,0.0350247751175889,46.392683,34.86147836667294,4.7719377e-08,3.6912207942532414e-08,,,,,,,-0.3,0.4,0.77,-0.43,0.7,0.21
2005,AZ_East,AS,4.0,9.04,29.56,22.4,16,29,16,1.4385473,7.777533066666666e-09,1.01064095e-08,1.7913083e-08,2.5215354762041673e-08,2.4064816442964123e-08,1.0642708961229168e-08,0.0182520529999999,0.0156691395483124,0.101398047,0.0490737543104679,47.025268,40.41706741209256,4.4406482e-08,2.6567908750130787e-08,,,,,,,-0.3,0.3,0.01,0.83,-0.1,0.53
