time,tcwv,Month,Year,Region
1948-12-01,7.4473755656593,12,1948,AZ_West
1949-01-01,6.482906109687835,1,1949,AZ_West
1949-02-01,6.601875385577014,2,1949,AZ_West
1949-03-01,7.76443979644477,3,1949,AZ_West
1949-04-01,8.865019365035135,4,1949,AZ_West
1949-05-01,10.725581214575728,5,1949,AZ_West
1949-06-01,14.500570412220222,6,1949,AZ_West
1949-07-01,19.72197372221758,7,1949,AZ_West
1949-08-01,16.680288201546375,8,1949,AZ_West
1949-09-01,18.884364022014758,9,1949,AZ_West
1949-10-01,11.288799144319286,10,1949,AZ_West
1949-11-01,8.55101020032104,11,1949,AZ_West
1949-12-01,7.38908980163906,12,1949,AZ_West
1950-01-01,7.228347553517863,1,1950,AZ_West
1950-02-01,8.54924848103598,2,1950,AZ_West
1950-03-01,7.276595243303586,3,1950,AZ_West
1950-04-01,8.113177717458022,4,1950,AZ_West
1950-05-01,8.520334462860474,5,1950,AZ_West
1950-06-01,9.191477657869342,6,1950,AZ_West
1950-07-01,24.69008331385833,7,1950,AZ_West
1950-08-01,15.576283659058916,8,1950,AZ_West
1950-09-01,13.89927326608704,9,1950,AZ_West
1950-10-01,10.226671361151642,10,1950,AZ_West
1950-11-01,9.34015133052566,11,1950,AZ_West
1950-12-01,8.776643329177764,12,1950,AZ_West
1951-01-01,8.047523070204653,1,1951,AZ_West
1951-02-01,7.916525136961282,2,1951,AZ_West
1951-03-01,5.957456035070531,3,1951,AZ_West
1951-04-01,10.33004330059106,4,1951,AZ_West
1951-05-01,10.902280062142884,5,1951,AZ_West
1951-06-01,9.634049751074798,6,1951,AZ_West
1951-07-01,22.14901880295606,7,1951,AZ_West
1951-08-01,21.72984138382156,8,1951,AZ_West
1951-09-01,12.719440280535355,9,1951,AZ_West
1951-10-01,10.362102865888833,10,1951,AZ_West
1951-11-01,8.82852090582878,11,1951,AZ_West
1951-12-01,8.715552652579802,12,1951,AZ_West
1952-01-01,8.25310400145876,1,1952,AZ_West
1952-02-01,6.571774468910366,2,1952,AZ_West
1952-03-01,8.03098100513526,3,1952,AZ_West
1952-04-01,10.684909982198716,4,1952,AZ_West
1952-05-01,9.98222349612365,5,1952,AZ_West
1952-06-01,9.85016640234334,6,1952,AZ_West
1952-07-01,21.15918005703825,7,1952,AZ_West
1952-08-01,24.88664009088942,8,1952,AZ_West
1952-09-01,18.20454795215693,9,1952,AZ_West
1952-10-01,8.994401945399302,10,1952,AZ_West
1952-11-01,8.347190988351993,11,1952,AZ_West
1952-12-01,8.792243326834903,12,1952,AZ_West
1953-01-01,9.122150544432612,1,1953,AZ_West
1953-02-01,5.809029854700482,2,1953,AZ_West
1953-03-01,6.863264496781285,3,1953,AZ_West
1953-04-01,8.499161896951197,4,1953,AZ_West
1953-05-01,8.100664720360808,5,1953,AZ_West
1953-06-01,9.912648890400648,6,1953,AZ_West
1953-07-01,26.907124536678403,7,1953,AZ_West
1953-08-01,19.628038424144965,8,1953,AZ_West
1953-09-01,12.068913459093508,9,1953,AZ_West
1953-10-01,9.715056903699036,10,1953,AZ_West
1953-11-01,9.154574695141342,11,1953,AZ_West
1953-12-01,5.166672939912915,12,1953,AZ_West
1954-01-01,7.986288688408206,1,1954,AZ_West
1954-02-01,6.578443454602756,2,1954,AZ_West
1954-03-01,7.621229582538041,3,1954,AZ_West
1954-04-01,8.467647879166169,4,1954,AZ_West
1954-05-01,10.052796054613866,5,1954,AZ_West
1954-06-01,13.099990274560112,6,1954,AZ_West
1954-07-01,26.579141372015886,7,1954,AZ_West
1954-08-01,18.43819397643256,8,1954,AZ_West
1954-09-01,16.274299726183408,9,1954,AZ_West
1954-10-01,10.3527593667803,10,1954,AZ_West
1954-11-01,8.696591550002674,11,1954,AZ_West
1954-12-01,6.811549253780402,12,1954,AZ_West
1955-01-01,7.379557356806604,1,1955,AZ_West
1955-02-01,5.812010406965237,2,1955,AZ_West
1955-03-01,6.203796018545167,3,1955,AZ_West
1955-04-01,5.96211048677683,4,1955,AZ_West
1955-05-01,9.771229669060151,5,1955,AZ_West
1955-06-01,10.323422216631498,6,1955,AZ_West
1955-07-01,22.812425868113465,7,1955,AZ_West
1955-08-01,31.419049959368856,8,1955,AZ_West
1955-09-01,11.80697613916911,9,1955,AZ_West
1955-10-01,10.324925798800772,10,1955,AZ_West
1955-11-01,8.475482473690668,11,1955,AZ_West
1955-12-01,10.97309479050461,12,1955,AZ_West
1956-01-01,9.45364916404311,1,1956,AZ_West
1956-02-01,5.866509272884809,2,1956,AZ_West
1956-03-01,4.5998118172671685,3,1956,AZ_West
1956-04-01,8.057350909056204,4,1956,AZ_West
1956-05-01,9.45460719869964,5,1956,AZ_West
1956-06-01,11.051640326303048,6,1956,AZ_West
1956-07-01,22.06876211081277,7,1956,AZ_West
1956-08-01,14.550901827383898,8,1956,AZ_West
1956-09-01,14.169005262425244,9,1956,AZ_West
1956-10-01,9.825105812452984,10,1956,AZ_West
1956-11-01,4.844640234950393,11,1956,AZ_West
1956-12-01,5.949248871512937,12,1956,AZ_West
