experiment,region,season,lead_month,rmse,sMAPE,r2,lead_time
tprate,AZ_East,AS,4.0,0.5538959053715146,27.81752296151569,-0.6825101233962176,4.0
tprate,AZ_East,AS,5.0,0.5401974436697081,26.745789257969747,-0.6003185007491993,3.0
tprate,AZ_East,AS,6.0,0.5343984069218984,27.734685814536835,-0.5661439828457755,2.0
tprate,AZ_East,AS,7.0,0.49621223295453526,27.76895463436841,-0.35031878626620205,1.0
tprate,AZ_East,AS,8.0,0.5862889616139645,38.45730574011435,-0.8850584102387997,0.0
tprate,AZ_East,ASO,5.0,0.44221713585595573,27.308576078719614,-0.22685730756255862,3.0
tprate,AZ_East,ASO,6.0,0.4356646649091078,25.37248125963401,-0.1907692032824586,2.0
tprate,AZ_East,ASO,7.0,0.4895917438195203,33.08527345904673,-0.5038034964112594,1.0
tprate,AZ_East,ASO,8.0,0.5532986720902612,41.49750702765415,-0.9206232197009698,0.0
tprate,AZ_East,Aug,4.0,0.7635228329930674,30.307787689534603,-0.6083592461571097,4.0
tprate,AZ_East,Aug,5.0,0.7403797083932415,31.74316773040896,-0.5123350481318367,3.0
tprate,AZ_East,Aug,6.0,0.8946379752222107,33.98808699091455,-1.2081758705598125,2.0
tprate,AZ_East,Aug,7.0,0.7712261493333009,31.92667473230201,-0.6409770028419388,1.0
tprate,AZ_East,Aug,8.0,0.8081918663054501,42.866452076965004,-0.8020546300253186,0.0
tprate,AZ_East,JA,4.0,0.6272794370629415,26.118770829730725,-0.24892259845320241,3.0
tprate,AZ_East,JA,5.0,0.6217133527152826,28.40600024757994,-0.22685662271584617,2.0
tprate,AZ_East,JA,6.0,0.7273730916789186,31.85498124893587,-0.6792984353942151,1.0
tprate,AZ_East,JA,7.0,0.5591897744747699,24.016089074049223,0.007496917922946156,0.0
tprate,AZ_East,JAS,4.0,0.6018183964550189,27.845910541833184,-0.785267829648125,4.0
tprate,AZ_East,JAS,5.0,0.5928139874094748,26.514610568176245,-0.7322451149038391,3.0
tprate,AZ_East,JAS,6.0,0.5427380783470128,25.79105629037403,-0.451954630237269,2.0
tprate,AZ_East,JAS,7.0,0.5067642249167338,24.200570142007354,-0.26585615378845806,1.0
tprate,AZ_East,JASO,7.0,0.4169390671902038,23.34630587584806,-0.18710158337099192,1.0
tprate,AZ_East,JJ,4.0,0.5352550167779079,42.39612324196075,-0.4801902988100677,2.0
tprate,AZ_East,JJ,5.0,0.5160613933000356,44.01943694283157,-0.3759377996142881,1.0
tprate,AZ_East,JJ,6.0,0.48003230178725775,38.17002173944894,-0.19052079404527644,0.0
tprate,AZ_East,JJA,4.0,0.43082952972051364,27.03579541882063,-0.13681126187983028,3.0
tprate,AZ_East,JJA,5.0,0.41478187550037565,24.362462469001958,-0.05370000856758361,2.0
tprate,AZ_East,JJA,6.0,0.3928159139882829,23.419344141904695,0.05494825292016681,1.0
tprate,AZ_East,JJASO,5.0,0.3776298530270131,23.46101446481546,-0.2631370199402152,2.0
tprate,AZ_East,JJASO,6.0,0.3804348616950187,23.593958948763483,-0.2819717029056126,1.0
tprate,AZ_East,Jul,4.0,0.934834737622655,43.18732241495197,-0.2767824101937133,3.0
tprate,AZ_East,Jul,5.0,0.9362071438257097,49.13172881323943,-0.28053398307705946,2.0
tprate,AZ_East,Jul,6.0,0.9928287539492162,39.25190625696127,-0.44011077558683964,1.0
tprate,AZ_East,Jul,7.0,0.8683274497702057,39.39814514366161,-0.10157549781043729,0.0
tprate,AZ_East,Jun,4.0,0.3210873679503702,88.87288078749573,-0.11770466405093138,2.0
tprate,AZ_East,Jun,5.0,0.32035939287561066,75.44056854114281,-0.1126422489957768,1.0
tprate,AZ_East,Jun,6.0,0.34549327267267044,89.14161617096369,-0.2940760919000076,0.0
tprate,AZ_East,Oct,5.0,0.9868665715267441,94.52669655620241,-0.5220034176223847,5.0
tprate,AZ_East,Oct,6.0,0.875135371159108,105.08153489562027,-0.196876186457565,4.0
tprate,AZ_East,Oct,7.0,1.1838739644113272,124.45866434348123,-1.1903307015661397,3.0
tprate,AZ_East,Oct,8.0,0.888332724285307,99.12971542448685,-0.23324701507509427,2.0
tprate,AZ_East,SO,5.0,0.4230070121411054,36.042134287048405,0.07247465775980999,4.0
tprate,AZ_East,SO,6.0,0.5551888056594911,46.776246497460136,-0.5977618699577338,3.0
tprate,AZ_East,SO,7.0,0.5421488620046527,49.97677345381831,-0.5235887319129935,2.0
tprate,AZ_East,SO,8.0,0.5307937610886512,49.66292047076187,-0.4604351267621176,1.0
tprate,AZ_East,Sep,4.0,0.7420295592318495,53.02908344055963,-0.8026859641801423,5.0
tprate,AZ_East,Sep,5.0,0.6374067483019942,45.97217404043596,-0.3301817327826213,4.0
tprate,AZ_East,Sep,6.0,0.7452877115516686,54.25437153763316,-0.8185514242410388,3.0
tprate,AZ_East,Sep,7.0,0.8524400581748826,65.61933314845602,-1.3790598369735845,2.0
tprate,AZ_East,Sep,8.0,0.7296232026449129,57.11806825440101,-0.74290990575605,1.0
tprate,AZ_West,AS,4.0,0.41415149062948314,45.25116081622935,-0.3124509558812616,4.0
tprate,AZ_West,AS,5.0,0.514248722576878,53.02991351644629,-1.0235366234280567,3.0
tprate,AZ_West,AS,6.0,0.5031055004244851,46.451661984394136,-0.9367909931708975,2.0
tprate,AZ_West,AS,7.0,0.3864482425901086,44.6580598653908,-0.14273965698181534,1.0
tprate,AZ_West,AS,8.0,0.421777006654728,71.4359482146598,-0.3612265979226559,0.0
tprate,AZ_West,ASO,5.0,0.404216060145941,49.09845133898544,-0.8797502539217854,3.0
tprate,AZ_West,ASO,6.0,0.3461317836597491,40.43616086865979,-0.37833880560428934,2.0
tprate,AZ_West,ASO,7.0,0.4002529914197998,55.60562635722709,-0.8430715511309179,1.0
tprate,AZ_West,ASO,8.0,0.3908165537118633,66.81588897220774,-0.7571908136288465,0.0
tprate,AZ_West,Aug,4.0,0.5559031406319266,53.94859048366667,-0.7736695375239704,4.0
tprate,AZ_West,Aug,5.0,0.6125768289415704,56.60303043550772,-1.1537514487143268,3.0
tprate,AZ_West,Aug,6.0,0.6840349241771613,59.8532198539894,-1.6855361528220314,2.0
tprate,AZ_West,Aug,7.0,0.5915086726329724,66.69962428373887,-1.0081524760077487,1.0
tprate,AZ_West,Aug,8.0,0.6017872869175491,100.21294524754596,-1.0785499686403504,0.0
tprate,AZ_West,JA,4.0,0.3695470379589935,40.87606756551113,-0.256490766690314,3.0
tprate,AZ_West,JA,5.0,0.3642793075417848,43.642881235588966,-0.2209246301747927,2.0
tprate,AZ_West,JA,6.0,0.43893772089830074,50.14723673071774,-0.7726608733698352,1.0
tprate,AZ_West,JA,7.0,0.48753193833518554,61.166229261149105,-1.1868852415567153,0.0
tprate,AZ_West,JAS,4.0,0.3156875820240995,41.73308207964714,-0.0005241303228644689,4.0
tprate,AZ_West,JAS,5.0,0.36132121722366023,42.29358870585653,-0.3106885307197995,3.0
tprate,AZ_West,JAS,6.0,0.39811431497414546,45.914741049589566,-0.5912124106768155,2.0
tprate,AZ_West,JAS,7.0,0.38486916852843345,55.00081051024953,-0.48709534130081966,1.0
tprate,AZ_West,JASO,7.0,0.32111014780805974,45.858876942138956,-0.4848073722938946,1.0
tprate,AZ_West,JJ,4.0,0.2548260284219794,58.02172243239803,-0.41425783751059475,2.0
tprate,AZ_West,JJ,5.0,0.2681199335045587,58.336931731412456,-0.5656663910205886,1.0
