time,tclw,Month,Year,Region
1948-08-01,0.007111252389622,8,1948,AZ_West
1948-09-01,0.0063606177958183,9,1948,AZ_West
1948-10-01,0.0140102636508818,10,1948,AZ_West
1948-11-01,0.0010616371236628,11,1948,AZ_West
1948-12-01,0.0355849315200014,12,1948,AZ_West
1949-01-01,0.0387670382589572,1,1949,AZ_West
1949-02-01,0.0155502223778135,2,1949,AZ_West
1949-03-01,0.0063631108020697,3,1949,AZ_West
1949-04-01,0.0028809084356044,4,1949,AZ_West
1949-05-01,0.0082895334403926,5,1949,AZ_West
1949-06-01,0.0056085449291772,6,1949,AZ_West
1949-07-01,0.0083247471536933,7,1949,AZ_West
1949-08-01,0.0065240775037811,8,1949,AZ_West
1949-09-01,0.0110901143380321,9,1949,AZ_West
1949-10-01,0.0111663907408386,10,1949,AZ_West
1949-11-01,0.0060412253410747,11,1949,AZ_West
1949-12-01,0.0211725986974432,12,1949,AZ_West
1950-01-01,0.0153758557675009,1,1950,AZ_West
1950-02-01,0.0085929370954278,2,1950,AZ_West
1950-03-01,0.0038089300126791,3,1950,AZ_West
1950-04-01,0.0020232184002753,4,1950,AZ_West
1950-05-01,0.0024074050463407,5,1950,AZ_West
1950-06-01,0.0004474706509079,6,1950,AZ_West
1950-07-01,0.0188230122191632,7,1950,AZ_West
1950-08-01,0.0033840402453172,8,1950,AZ_West
1950-09-01,0.0060095593674394,9,1950,AZ_West
1950-10-01,0.0009216212629485,10,1950,AZ_West
1950-11-01,0.0094676227214515,11,1950,AZ_West
1950-12-01,0.0028556188048813,12,1950,AZ_West
1951-01-01,0.0130353543793101,1,1951,AZ_West
1951-02-01,0.0057610497923624,2,1951,AZ_West
1951-03-01,0.0034069567258587,3,1951,AZ_West
1951-04-01,0.0129871722392594,4,1951,AZ_West
1951-05-01,0.0058670505004738,5,1951,AZ_West
1951-06-01,0.0006281896329187,6,1951,AZ_West
1951-07-01,0.0089462967603464,7,1951,AZ_West
1951-08-01,0.0420508548587265,8,1951,AZ_West
1951-09-01,0.0018823875182865,9,1951,AZ_West
1951-10-01,0.0067174532867605,10,1951,AZ_West
1951-11-01,0.011834180819212,11,1951,AZ_West
1951-12-01,0.0318813549926567,12,1951,AZ_West
