Year,Month,init_Month,Region,q,tclw,tcwv,tprate
1982,11,9,AZ_East,0.003793953,0.020823509,7.7315626,1.5609093e-08
1982,12,9,AZ_East,0.0028274201,0.01340911,5.7729354,1.1386392e-08
1982,1,10,AZ_East,0.0028427301,0.017366584,5.976296,1.32680995e-08
1982,2,10,AZ_East,0.0028850075,0.017373245,6.219665,1.6224872e-08
1982,3,10,AZ_East,0.0028758128,0.011242801,6.306937,1.16280505e-08
1982,10,10,AZ_East,0.0038431636,0.011407166,8.458335,6.5553007e-09
1982,11,10,AZ_East,0.003771419,0.021975636,7.9022465,1.68869e-08
1982,12,10,AZ_East,0.0027545195,0.014880281,5.6837506,1.2726253e-08
1983,4,4,AZ_East,0.0033128024,0.01224428,7.482523,1.4381773e-08
1983,5,4,AZ_East,0.0033993218,0.0072069596,8.295128,4.791685e-09
1983,6,4,AZ_East,0.0038423005,0.009446806,10.50898,3.873371e-09
1983,7,4,AZ_East,0.006979443,0.034818906,19.737864,1.3278831e-08
1983,8,4,AZ_East,0.009224435,0.05335356,23.876524,2.3932385e-08
1983,9,4,AZ_East,0.006946169,0.031978365,17.117813,1.3208068e-08
1983,5,5,AZ_East,0.0029279552,0.003802239,7.1403003,2.4199158e-09
1983,6,5,AZ_East,0.00409326,0.011055208,11.131913,4.5299235e-09
1983,7,5,AZ_East,0.0070529156,0.03621293,19.964834,1.24723485e-08
1983,8,5,AZ_East,0.009377641,0.05414533,24.532856,2.4181741e-08
1983,9,5,AZ_East,0.0076675992,0.038532194,18.792566,1.5822321e-08
1983,10,5,AZ_East,0.004939895,0.019989857,10.803225,1.3783193e-08
1983,6,6,AZ_East,0.004270923,0.010624766,11.925528,3.129054e-09
1983,7,6,AZ_East,0.007822551,0.043283835,21.5611,1.8134642e-08
1983,8,6,AZ_East,0.009715578,0.05773285,24.849562,2.8501445e-08
1983,9,6,AZ_East,0.007530794,0.03797972,18.2971,1.6242764e-08
1983,10,6,AZ_East,0.004969461,0.019326817,10.743448,1.225728e-08
1983,11,6,AZ_East,0.003361359,0.0162528,7.069324,1.1845747e-08
1983,7,7,AZ_East,0.0076009757,0.039247274,21.385109,1.5895221e-08
1983,8,7,AZ_East,0.009557152,0.05604239,24.81903,2.6420567e-08
1983,9,7,AZ_East,0.007400037,0.03674638,17.860397,1.6683778e-08
1983,10,7,AZ_East,0.004860216,0.019927189,10.682529,1.0913765e-08
1983,11,7,AZ_East,0.0037273562,0.018545711,7.6851315,1.2332227e-08
1983,12,7,AZ_East,0.0029869585,0.021002755,6.251895,1.4990023e-08
1983,1,8,AZ_East,0.0027596937,0.017425196,5.7062483,1.643255e-08
1983,8,8,AZ_East,0.010860354,0.069931746,27.401398,3.9382737e-08
1983,9,8,AZ_East,0.008090747,0.041317876,19.34917,1.7807128e-08
1983,10,8,AZ_East,0.005384108,0.021093464,11.992225,1.1819328e-08
1983,11,8,AZ_East,0.0038480288,0.018517887,7.8576965,1.4089049e-08
1983,12,8,AZ_East,0.003029652,0.016871588,6.28231,1.177678e-08
1983,1,9,AZ_East,0.0028757052,0.019828131,5.943887,1.8840218e-08
1983,2,9,AZ_East,0.0030782507,0.021711983,6.4127455,2.328642e-08
1983,9,9,AZ_East,0.008020514,0.042074118,20.144995,1.42919605e-08
1983,10,9,AZ_East,0.005003615,0.017690053,11.164566,1.0620333e-08
1983,11,9,AZ_East,0.0034435892,0.013546717,7.1032043,1.0645248e-08
1983,12,9,AZ_East,0.0028052768,0.016808525,6.02731,1.2065561e-08
1983,1,10,AZ_East,0.0026882987,0.01755732,5.6423655,1.694408e-08
1983,2,10,AZ_East,0.0031196668,0.016609695,6.421797,1.7218829e-08
1983,3,10,AZ_East,0.0033297702,0.017025704,6.9898324,2.0400774e-08
1983,10,10,AZ_East,0.0063528996,0.02543457,12.515503,1.5717138e-08
1983,11,10,AZ_East,0.0039089476,0.016504247,7.7547913,1.1855506e-08
1983,12,10,AZ_East,0.003137083,0.017975949,6.4123497,1.34865905e-08
1984,4,4,AZ_East,0.0027056278,0.0061187027,6.42361,7.567323e-09
1984,5,4,AZ_East,0.003031566,0.00468382,8.117672,2.992142e-09
1984,6,4,AZ_East,0.004188059,0.011753001,11.762368,4.1333976e-09
1984,7,4,AZ_East,0.008275003,0.04670807,22.74576,2.1489225e-08
1984,8,4,AZ_East,0.010076314,0.060295373,25.568274,3.190683e-08
