time,q,Month,Year,Region
1948-08-01,0.0056157605376722,8,1948,AZ_West
1948-09-01,0.0045162972859072,9,1948,AZ_West
1948-10-01,0.0044133320206834,10,1948,AZ_West
1948-11-01,0.0020495569991492,11,1948,AZ_West
1948-12-01,0.0024637783554842,12,1948,AZ_West
1949-01-01,0.0022363526270602,1,1949,AZ_West
1949-02-01,0.0023977082715819,2,1949,AZ_West
1949-03-01,0.0029451513063172,3,1949,AZ_West
1949-04-01,0.0030532540966473,4,1949,AZ_West
1949-05-01,0.0035971741770751,5,1949,AZ_West
1949-06-01,0.0043162108301786,6,1949,AZ_West
1949-07-01,0.0055849458803462,7,1949,AZ_West
1949-08-01,0.0051328884424625,8,1949,AZ_West
1949-09-01,0.0062313737176346,9,1949,AZ_West
1949-10-01,0.0038915934007767,10,1949,AZ_West
1949-11-01,0.0031052162735757,11,1949,AZ_West
1949-12-01,0.0025900877400972,12,1949,AZ_West
1950-01-01,0.0025693942310877,1,1950,AZ_West
1950-02-01,0.0028994179588476,2,1950,AZ_West
1950-03-01,0.0024417612901701,3,1950,AZ_West
1950-04-01,0.0026836607923478,4,1950,AZ_West
1950-05-01,0.0026135682725304,5,1950,AZ_West
1950-06-01,0.0028073818268936,6,1950,AZ_West
1950-07-01,0.0076709314775829,7,1950,AZ_West
1950-08-01,0.004478862748396,8,1950,AZ_West
1950-09-01,0.0044840625338147,9,1950,AZ_West
1950-10-01,0.0032898663691473,10,1950,AZ_West
1950-11-01,0.0033035370548261,11,1950,AZ_West
1950-12-01,0.0027931871752148,12,1950,AZ_West
1951-01-01,0.0027705761884933,1,1951,AZ_West
1951-02-01,0.0026960911686566,2,1951,AZ_West
1951-03-01,0.0021274740312641,3,1951,AZ_West
1951-04-01,0.0036257488622619,4,1951,AZ_West
1951-05-01,0.0035330971227244,5,1951,AZ_West
1951-06-01,0.0029977745618439,6,1951,AZ_West
1951-07-01,0.0063726122857023,7,1951,AZ_West
1951-08-01,0.0070749687715084,8,1951,AZ_West
1951-09-01,0.0043834876448555,9,1951,AZ_West
1951-10-01,0.0036697697013628,10,1951,AZ_West
1951-11-01,0.0030261456767957,11,1951,AZ_West
1951-12-01,0.0028873940234548,12,1951,AZ_West
1952-01-01,0.0028992367743429,1,1952,AZ_West
1952-02-01,0.0024127535810126,2,1952,AZ_West
1952-03-01,0.0030180231544635,3,1952,AZ_West
1952-04-01,0.0038107991027628,4,1952,AZ_West
1952-05-01,0.0031897545849839,5,1952,AZ_West
1952-06-01,0.0032067404574109,6,1952,AZ_West
1952-07-01,0.0061759326583052,7,1952,AZ_West
1952-08-01,0.0072425707343407,8,1952,AZ_West
1952-09-01,0.0052678715980166,9,1952,AZ_West
1952-10-01,0.0026916231167975,10,1952,AZ_West
1952-11-01,0.0029684751386382,11,1952,AZ_West
1952-12-01,0.0029747494391117,12,1952,AZ_West
1953-01-01,0.0030526028118061,1,1953,AZ_West
1953-02-01,0.0020789074898021,2,1953,AZ_West
1953-03-01,0.0024814763739567,3,1953,AZ_West
1953-04-01,0.0028213351324176,4,1953,AZ_West
1953-05-01,0.0024356765688502,5,1953,AZ_West
1953-06-01,0.0029828656654573,6,1953,AZ_West
1953-07-01,0.0074053814513325,7,1953,AZ_West
1953-08-01,0.0059417534348682,8,1953,AZ_West
1953-09-01,0.003523810542416,9,1953,AZ_West
1953-10-01,0.0033771756142355,10,1953,AZ_West
1953-11-01,0.0029975891800148,11,1953,AZ_West
1953-12-01,0.0016170863757329,12,1953,AZ_West
