time,tp,Month,Year,Region
1948-07-01,6.202272773441762e-05,7,1948,AZ_West
1948-08-01,0.0004139195146811,8,1948,AZ_West
1948-09-01,0.0001562272885045,9,1948,AZ_West
1948-10-01,0.0009201985839172,10,1948,AZ_West
1948-11-01,2.0574246940529585e-05,11,1948,AZ_West
1948-12-01,0.0011977818498455,12,1948,AZ_West
1949-01-01,0.0023307127716398,1,1949,AZ_West
1949-02-01,0.0008489768355321,2,1949,AZ_West
1949-03-01,0.0006709337357542,3,1949,AZ_West
1949-04-01,0.000242091172681,4,1949,AZ_West
1949-05-01,0.0004663495973186,5,1949,AZ_West
1949-06-01,0.000386421292348,6,1949,AZ_West
1949-07-01,0.0002204886469006,7,1949,AZ_West
1949-08-01,0.0004191632165562,8,1949,AZ_West
1949-09-01,0.0008762531022304,9,1949,AZ_West
1949-10-01,0.0006082347369446,10,1949,AZ_West
1949-11-01,0.0003442774661665,11,1949,AZ_West
1949-12-01,0.0011150496209556,12,1949,AZ_West
1950-01-01,0.0006828430427906,1,1950,AZ_West
1950-02-01,0.000343590790921,2,1950,AZ_West
1950-03-01,0.0002822304620346,3,1950,AZ_West
1950-04-01,0.0001367264051423,4,1950,AZ_West
1950-05-01,0.0001373125067408,5,1950,AZ_West
1950-06-01,2.6553176856327832e-05,6,1950,AZ_West
1950-07-01,0.0011474256651719,7,1950,AZ_West
1950-08-01,0.000198005234694,8,1950,AZ_West
1950-09-01,0.0003916632601947,9,1950,AZ_West
1950-10-01,1.1489672164175993e-05,10,1950,AZ_West
1950-11-01,0.0002055638644803,11,1950,AZ_West
1950-12-01,7.488748441809155e-05,12,1950,AZ_West
1951-01-01,0.0007819028830748,1,1951,AZ_West
1951-02-01,0.0004929704012825,2,1951,AZ_West
1951-03-01,0.0002734424061142,3,1951,AZ_West
1951-04-01,0.0013177904872042,4,1951,AZ_West
1951-05-01,0.0005179369421548,5,1951,AZ_West
1951-06-01,3.5594400922735195e-05,6,1951,AZ_West
1951-07-01,0.0003827711625705,7,1951,AZ_West
1951-08-01,0.002315864286469,8,1951,AZ_West
1951-09-01,3.384996835449461e-05,9,1951,AZ_West
1951-10-01,0.0003917187491034,10,1951,AZ_West
1951-11-01,0.0006155297944143,11,1951,AZ_West
1951-12-01,0.0015317435810733,12,1951,AZ_West
1952-01-01,0.001691152811688,1,1952,AZ_West
1952-02-01,0.0002108699913777,2,1952,AZ_West
1952-03-01,0.0021462381605342,3,1952,AZ_West
1952-04-01,0.0009236805129401,4,1952,AZ_West
1952-05-01,5.557040806600557e-05,5,1952,AZ_West
1952-06-01,2.604857459255265e-05,6,1952,AZ_West
1952-07-01,0.0005532556325622,7,1952,AZ_West
1952-08-01,0.0002917658841944,8,1952,AZ_West
1952-09-01,0.0004833916284127,9,1952,AZ_West
1952-10-01,8.514079433458515e-07,10,1952,AZ_West
1952-11-01,0.0011137976524523,11,1952,AZ_West
1952-12-01,0.0012143279488179,12,1952,AZ_West
1953-01-01,0.0002207921018702,1,1953,AZ_West
1953-02-01,0.0003706364318423,2,1953,AZ_West
